"Origen","Destino","Año","Mes","Día","Periodo","Modo","Distancia","Residencia","Actividad_Origen","Actividad_Destino","Viajeros","Viajeros-km"
"01","03","2017","10","7","P4","privado","D2","España","casa","esporádica","18,76","12892,397"
"01","05","2017","10","7","P4","tren","D2","España","esporádica","frecuente","18,8","8202,515"
"01","07_2","2017","10","7","P1","avión","D2","España","casa","esporádica","22,289","19795,988"
"01","08","2017","10","7","P1","privado","D2","Italia","NA","NA","4,988","2606,021"
"01","08","2017","10","7","P1","tren","D2","España","casa","esporádica","17,053","8476,914"
"01","08","2017","10","7","P2","privado","D2","España","casa","esporádica","23,586","13104,237"
"01","08","2017","10","7","P2","privado","D2","España","frecuente","esporádica","21,522","10914,728"
"01","08","2017","10","7","P2","privado","D2","Francia","NA","NA","5,223","2404,306"
"01","08","2017","10","7","P3","privado","D2","España","esporádica","casa","15,557","7391,173"
"01","08","2017","10","7","P3","privado","D2","España","esporádica","esporádica","12,375","6862,148"
"01","08","2017","10","7","P3","privado","D2","España","esporádica","frecuente","17,0","8572,301"
"01","08","2017","10","7","P3","privado","D2","España","frecuente","casa","14,333","6964,667"
"01","08","2017","10","7","P3","privado","D2","España","trabajo","esporádica","24,189","11353,731"
"01","08","2017","10","7","P3","tren","D2","España","esporádica","esporádica","19,941","13160,314"
"01","08","2017","10","7","P3","tren","D2","España","frecuente","esporádica","13,886","9175,581"
"01","09","2017","10","7","P1","privado","D2","España","casa","esporádica","62,334","6929,481"
"01","09","2017","10","7","P1","privado","D2","España","casa","frecuente","50,208","5714,788"
"01","09","2017","10","7","P1","privado","D2","España","esporádica","casa","28,565","2778,732"
"01","09","2017","10","7","P1","privado","D2","España","esporádica","esporádica","11,029","770,833"
"01","09","2017","10","7","P1","privado","D2","España","frecuente","frecuente","18,772","1905,949"
"01","09","2017","10","7","P1","privado","D2","Francia","NA","NA","10,446","1547,574"
"01","09","2017","10","7","P1","privado","D2","Italia","NA","NA","4,988","506,461"
"01","09","2017","10","7","P2","autobús","D2","Belgica","NA","NA","4,156","351,965"
"01","09","2017","10","7","P2","privado","D2","Belgica","NA","NA","4,156","419,672"
"01","09","2017","10","7","P2","privado","D2","España","casa","esporádica","358,711","40244,832"
"01","09","2017","10","7","P2","privado","D2","España","esporádica","casa","18,772","1257,592"
"01","09","2017","10","7","P2","privado","D2","España","esporádica","esporádica","52,747","5034,973"
"01","09","2017","10","7","P2","privado","D2","España","frecuente","casa","42,26","3083,675"
"01","09","2017","10","7","P2","privado","D2","España","frecuente","esporádica","37,472","5374,247"
"01","09","2017","10","7","P2","privado","D2","España","frecuente","frecuente","21,419","1371,374"
"01","09","2017","10","7","P2","privado","D2","España","trabajo","esporádica","19,941","2979,284"
"01","09","2017","10","7","P2","privado","D2","Francia","NA","NA","5,223","946,265"
"01","09","2017","10","7","P2","privado","D2","Italia","NA","NA","4,988","255,69"
"01","09","2017","10","7","P2","privado","D2","Paises Nordicos","NA","NA","7,605","1009,434"
"01","09","2017","10","7","P2","privado","D2","Portugal","NA","NA","4,455","527,094"
"01","09","2017","10","7","P2","privado","D2","Resto de Europa","NA","NA","12,229","1212,147"
"01","09","2017","10","7","P2","tren","D2","España","casa","esporádica","24,673","2103,265"
"01","09","2017","10","7","P3","autobús","D2","España","casa","esporádica","13,606","847,549"
"01","09","2017","10","7","P3","privado","D2","Alemania","NA","NA","17,14","2897,445"
"01","09","2017","10","7","P3","privado","D2","España","casa","esporádica","284,709","23697,49"
"01","09","2017","10","7","P3","privado","D2","España","casa","frecuente","23,661","2582,33"
"01","09","2017","10","7","P3","privado","D2","España","esporádica","casa","152,313","10792,456"
"01","09","2017","10","7","P3","privado","D2","España","esporádica","esporádica","105,112","13680,012"
"01","09","2017","10","7","P3","privado","D2","España","esporádica","frecuente","64,068","7069,849"
"01","09","2017","10","7","P3","privado","D2","España","esporádica","trabajo","75,162","5510,229"
"01","09","2017","10","7","P3","privado","D2","España","frecuente","casa","40,841","2750,895"
"01","09","2017","10","7","P3","privado","D2","España","frecuente","esporádica","87,371","7052,16"
"01","09","2017","10","7","P3","privado","D2","España","frecuente","frecuente","17,477","1221,917"
"01","09","2017","10","7","P3","privado","D2","España","trabajo","esporádica","34,933","3482,942"
"01","09","2017","10","7","P3","privado","D2","España","trabajo","frecuente","37,923","2279,878"
"01","09","2017","10","7","P3","privado","D2","Francia","NA","NA","5,223","881,656"
"01","09","2017","10","7","P3","privado","D2","Paises Nordicos","NA","NA","7,605","910,76"
"01","09","2017","10","7","P3","privado","D2","Portugal","NA","NA","4,455","709,484"
"01","09","2017","10","7","P3","privado","D2","Resto de Europa","NA","NA","24,457","2834,637"
"01","09","2017","10","7","P4","autobús","D2","España","esporádica","casa","13,321","1012,868"
"01","09","2017","10","7","P4","privado","D2","España","casa","esporádica","224,728","21796,897"
"01","09","2017","10","7","P4","privado","D2","España","casa","frecuente","19,854","1116,486"
"01","09","2017","10","7","P4","privado","D2","España","esporádica","casa","423,816","40611,758"
"01","09","2017","10","7","P4","privado","D2","España","esporádica","esporádica","189,78","16660,393"
"01","09","2017","10","7","P4","privado","D2","España","esporádica","frecuente","83,621","9633,491"
"01","09","2017","10","7","P4","privado","D2","España","esporádica","trabajo","66,01","5495,936"
"01","09","2017","10","7","P4","privado","D2","España","frecuente","casa","18,115","1662,413"
"01","09","2017","10","7","P4","privado","D2","España","frecuente","esporádica","74,623","7127,836"
"01","09","2017","10","7","P4","privado","D2","Italia","NA","NA","9,977","913,864"
"01","09","2017","10","7","P4","privado","D2","Paises Nordicos","NA","NA","7,605","848,537"
"01","09","2017","10","7","P4","privado","D2","Portugal","NA","NA","4,455","709,484"
"01","09","2017","10","7","P4","privado","D2","Resto de Europa","NA","NA","48,914","6079,274"
"01","09","2017","10","7","P4","tren","D2","España","casa","esporádica","22,365","2752,329"
"01","09","2017","10","7","P4","tren","D2","España","esporádica","casa","18,772","1371,09"
"01","10","2017","10","7","P2","privado","D2","España","casa","esporádica","25,923","12931,416"
"01","10","2017","10","7","P2","privado","D2","España","frecuente","casa","16,165","8804,506"
"01","11","2017","10","7","P1","privado","D2","España","esporádica","frecuente","15,478","13964,239"
"01","12","2017","10","7","P1","privado","D2","España","esporádica","esporádica","18,511","7809,458"
"01","13","2017","10","7","P1","privado","D2","Belgica","NA","NA","4,156","2131,847"
"01","13","2017","10","7","P1","privado","D2","España","esporádica","casa","35,32","18119,443"
"01","13","2017","10","7","P3","privado","D2","España","esporádica","esporádica","18,76","9360,039"
"01","13","2017","10","7","P3","privado","D2","España","esporádica","frecuente","9,676","5477,134"
"01","13","2017","10","7","P3","privado","D2","España","frecuente","casa","20,167","11357,947"
"01","14","2017","10","7","P3","privado","D2","España","esporádica","casa","60,167","39637,621"
"01","14","2017","10","7","P3","privado","D2","España","frecuente","esporádica","19,316","13232,707"
"01","15","2017","10","7","P3","privado","D2","España","esporádica","casa","12,93","6895,706"
"01","15","2017","10","7","P3","privado","D2","España","frecuente","esporádica","29,1","14383,839"
"01","15","2017","10","7","P3","privado","D2","España","frecuente","trabajo","9,738","6163,511"
"01","15","2017","10","7","P3","tren","D2","España","esporádica","casa","10,531","8498,116"
"01","17","2017","10","7","P1","privado","D2","España","casa","esporádica","21,179","12035,443"
"01","17","2017","10","7","P2","tren","D2","España","casa","esporádica","12,489","9946,215"
"01","18","2017","10","7","P2","privado","D2","Paises Bajos","NA","NA","5,167","3833,624"
"01","18","2017","10","7","P3","avión","D2","España","esporádica","frecuente","11,991","14539,595"
"01","18","2017","10","7","P3","privado","D2","España","casa","esporádica","19,536","14597,262"
"01","18","2017","10","7","P3","privado","D2","España","esporádica","esporádica","14,409","11434,968"
"01","19","2017","10","7","P2","privado","D2","España","frecuente","esporádica","25,04","7512,462"
"01","20","2017","10","7","P1","carretera","D2","Alemania","NA","NA","8,57","870,753"
"01","20","2017","10","7","P1","carretera","D2","Belgica","NA","NA","4,156","228,752"
"01","20","2017","10","7","P1","carretera","D2","España","casa","esporádica","67,294","6853,439"
"01","20","2017","10","7","P1","carretera","D2","España","casa","frecuente","28,759","1490,128"
"01","20","2017","10","7","P1","carretera","D2","España","casa","trabajo","8,879","539,857"
"01","20","2017","10","7","P1","carretera","D2","España","esporádica","casa","108,682","7518,347"
"01","20","2017","10","7","P1","carretera","D2","España","esporádica","esporádica","10,922","1103,751"
"01","20","2017","10","7","P1","carretera","D2","España","esporádica","frecuente","14,701","2357,618"
"01","20","2017","10","7","P1","carretera","D2","España","frecuente","esporádica","16,505","1167,608"
"01","20","2017","10","7","P1","carretera","D2","España","frecuente","frecuente","44,075","2866,506"
"01","20","2017","10","7","P1","carretera","D2","Italia","NA","NA","9,977","801,493"
"01","20","2017","10","7","P1","carretera","D2","Resto de Europa","NA","NA","12,229","724,079"
"01","20","2017","10","7","P2","carretera","D2","España","casa","esporádica","362,186","30590,497"
"01","20","2017","10","7","P2","carretera","D2","España","casa","frecuente","62,667","6324,329"
"01","20","2017","10","7","P2","carretera","D2","España","casa","trabajo","20,632","1965,096"
"01","20","2017","10","7","P2","carretera","D2","España","esporádica","esporádica","290,542","30217,003"
"01","20","2017","10","7","P2","carretera","D2","España","esporádica","trabajo","19,491","1626,107"
"01","20","2017","10","7","P2","carretera","D2","España","frecuente","casa","24,275","2634,614"
"01","20","2017","10","7","P2","carretera","D2","España","frecuente","esporádica","175,872","16103,385"
"01","20","2017","10","7","P2","carretera","D2","España","frecuente","trabajo","21,091","1161,603"
"01","20","2017","10","7","P2","carretera","D2","España","trabajo","esporádica","53,361","5438,263"
"01","20","2017","10","7","P2","carretera","D2","Francia","NA","NA","5,223","432,281"
"01","20","2017","10","7","P2","carretera","D2","Italia","NA","NA","9,977","817,032"
"01","20","2017","10","7","P2","carretera","D2","Resto de Europa","NA","NA","12,229","1335,876"
"01","20","2017","10","7","P3","carretera","D2","Alemania","NA","NA","17,14","1947,267"
"01","20","2017","10","7","P3","carretera","D2","Belgica","NA","NA","4,156","258,494"
"01","20","2017","10","7","P3","carretera","D2","España","casa","esporádica","515,826","47097,957"
"01","20","2017","10","7","P3","carretera","D2","España","casa","frecuente","34,167","4041,768"
"01","20","2017","10","7","P3","carretera","D2","España","esporádica","casa","468,263","39297,433"
"01","20","2017","10","7","P3","carretera","D2","España","esporádica","esporádica","296,505","25968,604"
"01","20","2017","10","7","P3","carretera","D2","España","esporádica","frecuente","160,076","10604,348"
"01","20","2017","10","7","P3","carretera","D2","España","esporádica","trabajo","67,529","3775,232"
"01","20","2017","10","7","P3","carretera","D2","España","frecuente","casa","16,55","1576,338"
"01","20","2017","10","7","P3","carretera","D2","España","frecuente","esporádica","86,216","7557,029"
"01","20","2017","10","7","P3","carretera","D2","España","frecuente","frecuente","19,97","1518,536"
"01","20","2017","10","7","P3","carretera","D2","España","trabajo","esporádica","37,296","3691,126"
"01","20","2017","10","7","P3","carretera","D2","Francia","NA","NA","26,115","2618,268"
"01","20","2017","10","7","P3","carretera","D2","Italia","NA","NA","34,918","2974,107"
"01","20","2017","10","7","P3","carretera","D2","Paises Nordicos","NA","NA","7,605","494,735"
"01","20","2017","10","7","P3","carretera","D2","Reino Unido","NA","NA","7,815","683,512"
"01","20","2017","10","7","P3","tren","D2","España","casa","esporádica","21,0","2286,186"
"01","20","2017","10","7","P3","tren","D2","España","esporádica","esporádica","40,479","4727,09"
"01","20","2017","10","7","P4","carretera","D2","España","casa","esporádica","16,936","1726,71"
"01","20","2017","10","7","P4","carretera","D2","España","esporádica","casa","818,013","66691,265"
"01","20","2017","10","7","P4","carretera","D2","España","esporádica","esporádica","285,964","26515,058"
"01","20","2017","10","7","P4","carretera","D2","España","esporádica","frecuente","49,276","5584,195"
"01","20","2017","10","7","P4","carretera","D2","España","esporádica","trabajo","37,464","4067,512"
"01","20","2017","10","7","P4","carretera","D2","España","frecuente","casa","16,545","1675,227"
"01","20","2017","10","7","P4","carretera","D2","España","frecuente","esporádica","42,157","4395,419"
"01","20","2017","10","7","P4","carretera","D2","España","frecuente","frecuente","23,84","1689,994"
"01","20","2017","10","7","P4","carretera","D2","Resto del mundo","NA","NA","36,373","2717,035"
"01","20","2017","10","7","P4","tren","D2","España","casa","esporádica","20,14","1892,093"
"01","20","2017","10","7","P4","tren","D2","España","esporádica","casa","38,125","4536,684"
"01","21","2017","10","7","P3","privado","D2","España","frecuente","casa","23,102","19879,121"
"01","22","2017","10","7","P2","privado","D2","España","casa","esporádica","34,958","9273,779"
"01","22","2017","10","7","P2","privado","D2","España","esporádica","esporádica","21,92","9094,515"
"01","22","2017","10","7","P2","privado","D2","Resto de Europa","NA","NA","12,229","3235,319"
"01","22","2017","10","7","P3","privado","D2","España","esporádica","esporádica","12,171","5138,79"
"01","23","2017","10","7","P1","privado","D2","España","casa","frecuente","8,25","5076,126"
"01","23","2017","10","7","P1","privado","D2","España","esporádica","esporádica","11,419","6715,287"
"01","23","2017","10","7","P3","privado","D2","España","frecuente","esporádica","19,941","13174,232"
"01","24","2017","10","7","P1","privado","D2","Alemania","NA","NA","8,57","2610,168"
"01","24","2017","10","7","P1","privado","D2","España","trabajo","esporádica","18,366","4396,565"
"01","24","2017","10","7","P1","privado","D2","Italia","NA","NA","4,988","1519,318"
"01","24","2017","10","7","P2","privado","D2","España","casa","esporádica","13,886","3566,157"
"01","24","2017","10","7","P3","privado","D2","Alemania","NA","NA","8,57","3306,148"
"01","24","2017","10","7","P3","privado","D2","España","casa","esporádica","24,325","9286,604"
"01","24","2017","10","7","P3","privado","D2","España","esporádica","esporádica","43,36","13728,255"
"01","24","2017","10","7","P4","privado","D2","España","esporádica","esporádica","34,742","9793,196"
"01","24","2017","10","7","P4","privado","D2","Paises Nordicos","NA","NA","7,605","2605,082"
"01","25","2017","10","7","P1","privado","D2","España","esporádica","esporádica","38,387","17602,704"
"01","25","2017","10","7","P1","privado","D2","España","frecuente","casa","67,603","30453,685"
"01","25","2017","10","7","P1","tren","D2","Alemania","NA","NA","8,57","3361,295"
"01","25","2017","10","7","P2","privado","D2","España","casa","esporádica","13,742","6440,103"
"01","25","2017","10","7","P2","privado","D2","España","casa","frecuente","58,35","26447,044"
"01","25","2017","10","7","P2","privado","D2","España","casa","trabajo","13,742","6134,263"
"01","25","2017","10","7","P2","privado","D2","España","esporádica","esporádica","130,704","60996,679"
"01","25","2017","10","7","P2","privado","D2","España","frecuente","casa","164,256","73745,091"
"01","25","2017","10","7","P2","privado","D2","España","frecuente","esporádica","14,215","6661,745"
"01","25","2017","10","7","P2","privado","D2","España","frecuente","frecuente","30,743","12697,908"
"01","25","2017","10","7","P2","privado","D2","España","frecuente","trabajo","28,75","12833,712"
"01","25","2017","10","7","P3","privado","D2","España","casa","esporádica","41,612","16680,368"
"01","25","2017","10","7","P3","privado","D2","España","esporádica","casa","37,036","15107,947"
"01","25","2017","10","7","P3","privado","D2","España","esporádica","esporádica","179,938","79416,821"
"01","25","2017","10","7","P3","privado","D2","España","esporádica","frecuente","23,533","10646,135"
"01","25","2017","10","7","P3","privado","D2","España","frecuente","casa","60,838","27273,024"
"01","25","2017","10","7","P3","privado","D2","España","frecuente","esporádica","37,668","14059,772"
"01","25","2017","10","7","P3","privado","D2","España","frecuente","frecuente","18,316","8767,813"
"01","25","2017","10","7","P3","privado","D2","España","frecuente","trabajo","23,676","10710,473"
"01","25","2017","10","7","P3","privado","D2","España","trabajo","casa","22,333","10103,22"
"01","25","2017","10","7","P4","privado","D2","España","casa","frecuente","11,612","5183,325"
"01","25","2017","10","7","P4","privado","D2","España","esporádica","casa","11,401","4198,048"
"01","25","2017","10","7","P4","privado","D2","España","esporádica","esporádica","161,842","72401,36"
"01","25","2017","10","7","P4","privado","D2","España","esporádica","frecuente","66,203","30460,329"
"01","25","2017","10","7","P4","privado","D2","España","frecuente","casa","33,97","15273,774"
"01","25","2017","10","7","P4","privado","D2","España","frecuente","frecuente","17,18","7772,144"
"01","25","2017","10","7","P4","privado","D2","España","trabajo","casa","22,333","10103,22"
"01","26","2017","10","7","P1","privado","D2","España","casa","esporádica","61,885","7825,018"
"01","26","2017","10","7","P1","privado","D2","España","casa","frecuente","139,564","19681,53"
"01","26","2017","10","7","P1","privado","D2","España","esporádica","casa","40,962","2477,264"
"01","26","2017","10","7","P1","privado","D2","España","esporádica","esporádica","25,163","1540,104"
"01","26","2017","10","7","P1","privado","D2","España","esporádica","frecuente","21,897","2288,895"
"01","26","2017","10","7","P1","privado","D2","España","frecuente","frecuente","99,118","8106,067"
"01","26","2017","10","7","P1","privado","D2","Italia","NA","NA","19,953","1605,156"
"01","26","2017","10","7","P2","privado","D2","España","casa","esporádica","295,367","24274,424"
"01","26","2017","10","7","P2","privado","D2","España","casa","frecuente","18,059","1010,138"
"01","26","2017","10","7","P2","privado","D2","España","esporádica","casa","60,307","5371,328"
"01","26","2017","10","7","P2","privado","D2","España","esporádica","esporádica","55,139","4471,13"
"01","26","2017","10","7","P2","privado","D2","España","frecuente","esporádica","164,932","9870,849"
"01","26","2017","10","7","P2","privado","D2","España","trabajo","casa","23,173","2070,375"
"01","26","2017","10","7","P2","privado","D2","Francia","NA","NA","10,446","868,348"
"01","26","2017","10","7","P3","privado","D2","España","casa","esporádica","431,349","34772,357"
"01","26","2017","10","7","P3","privado","D2","España","casa","frecuente","36,154","3188,564"
"01","26","2017","10","7","P3","privado","D2","España","esporádica","casa","176,007","12432,581"
"01","26","2017","10","7","P3","privado","D2","España","esporádica","esporádica","269,899","18700,946"
"01","26","2017","10","7","P3","privado","D2","España","esporádica","frecuente","45,902","3723,703"
"01","26","2017","10","7","P3","privado","D2","España","esporádica","trabajo","38,0","2022,74"
"01","26","2017","10","7","P3","privado","D2","España","frecuente","casa","30,261","3555,289"
"01","26","2017","10","7","P3","privado","D2","España","frecuente","esporádica","192,112","14888,31"
"01","26","2017","10","7","P3","privado","D2","España","frecuente","frecuente","52,917","4450,656"
"01","26","2017","10","7","P3","privado","D2","España","frecuente","trabajo","47,321","5532,521"
"01","26","2017","10","7","P3","privado","D2","España","trabajo","casa","31,385","1708,233"
"01","26","2017","10","7","P3","privado","D2","España","trabajo","esporádica","132,192","9556,607"
"01","26","2017","10","7","P3","privado","D2","España","trabajo","frecuente","21,894","2006,857"
"01","26","2017","10","7","P3","privado","D2","Francia","NA","NA","10,446","744,718"
"01","26","2017","10","7","P4","privado","D2","España","casa","esporádica","142,468","9776,452"
"01","26","2017","10","7","P4","privado","D2","España","casa","frecuente","27,878","3719,657"
"01","26","2017","10","7","P4","privado","D2","España","esporádica","casa","59,128","4863,466"
"01","26","2017","10","7","P4","privado","D2","España","esporádica","esporádica","183,194","14912,651"
"01","26","2017","10","7","P4","privado","D2","España","esporádica","frecuente","38,424","2758,741"
"01","26","2017","10","7","P4","privado","D2","España","esporádica","trabajo","36,125","2254,2"
"01","26","2017","10","7","P4","privado","D2","España","frecuente","casa","48,191","3655,785"
"01","26","2017","10","7","P4","privado","D2","España","frecuente","esporádica","18,895","1031,331"
"01","26","2017","10","7","P4","privado","D2","España","frecuente","frecuente","59,095","4413,31"
"01","26","2017","10","7","P4","privado","D2","España","trabajo","esporádica","51,134","4419,039"
"01","26","2017","10","7","P4","privado","D2","Italia","NA","NA","14,965","1251,507"
"01","26","2017","10","7","P4","privado","D2","Paises Bajos","NA","NA","5,167","432,738"
"01","28","2017","10","7","P1","privado","D2","España","casa","esporádica","43,621","14407,267"
"01","28","2017","10","7","P1","privado","D2","España","esporádica","esporádica","5,923","2206,66"
"01","28","2017","10","7","P1","privado","D2","España","frecuente","esporádica","36,434","11987,305"
"01","28","2017","10","7","P1","privado","D2","Francia","NA","NA","5,223","1626,129"
"01","28","2017","10","7","P1","privado","D2","Resto de Europa","NA","NA","12,229","3165,665"
"01","28","2017","10","7","P2","autobús","D2","España","frecuente","esporádica","12,221","3186,375"
"01","28","2017","10","7","P2","avión","D2","España","esporádica","esporádica","14,937","7301,61"
"01","28","2017","10","7","P2","privado","D2","Belgica","NA","NA","4,156","1487,47"
"01","28","2017","10","7","P2","privado","D2","España","casa","esporádica","113,066","37276,387"
