"Origen","Destino","Año","Mes","Día","Periodo","Modo","Distancia","Residencia","Actividad_Origen","Actividad_Destino","Viajeros","Viajeros-km"
"01","02","2017","10","13","P4","privado","D2","España","esporádica","frecuente","13,283","8237,502"
"01","03","2017","10","13","P1","avión","D2","España","frecuente","frecuente","11,902","10197,806"
"01","03","2017","10","13","P2","autobús","D2","España","esporádica","esporádica","9,397","6840,309"
"01","03","2017","10","13","P2","privado","D2","España","casa","frecuente","17,324","12783,685"
"01","03","2017","10","13","P4","privado","D2","España","casa","frecuente","23,732","18179,722"
"01","04","2017","10","13","P1","privado","D2","España","frecuente","esporádica","19,776","16080,754"
"01","05","2017","10","13","P3","privado","D2","España","casa","esporádica","19,386","7008,472"
"01","05","2017","10","13","P3","privado","D2","España","esporádica","esporádica","18,676","6706,534"
"01","06","2017","10","13","P1","privado","D2","España","casa","esporádica","23,798","15325,762"
"01","06","2017","10","13","P2","privado","D2","España","esporádica","frecuente","11,723","7305,512"
"01","06","2017","10","13","P3","privado","D2","Alemania","NA","NA","8,57","6094,328"
"01","08","2017","10","13","P2","avión","D2","España","esporádica","casa","9,883","6718,988"
"01","08","2017","10","13","P2","avión","D2","España","esporádica","esporádica","11,62","8813,368"
"01","08","2017","10","13","P2","avión","D2","España","frecuente","frecuente","21,648","14182,896"
"01","08","2017","10","13","P3","avión","D2","España","esporádica","esporádica","32,095","21484,908"
"01","08","2017","10","13","P3","privado","D2","España","casa","esporádica","20,149","10769,807"
"01","08","2017","10","13","P3","privado","D2","España","esporádica","casa","25,519","13798,244"
"01","08","2017","10","13","P3","privado","D2","España","esporádica","esporádica","46,565","25566,67"
"01","08","2017","10","13","P3","privado","D2","España","frecuente","esporádica","21,053","11979,074"
"01","08","2017","10","13","P3","privado","D2","España","frecuente","frecuente","12,71","7568,81"
"01","08","2017","10","13","P3","tren","D2","España","casa","esporádica","9,075","5312,496"
"01","08","2017","10","13","P4","privado","D2","España","esporádica","casa","8,357","4285,799"
"01","08","2017","10","13","P4","privado","D2","España","esporádica","esporádica","13,809","7280,647"
"01","08","2017","10","13","P4","tren","D2","España","frecuente","casa","9,885","6690,889"
"01","09","2017","10","13","P1","autobús","D2","España","frecuente","frecuente","6,69","499,067"
"01","09","2017","10","13","P1","privado","D2","Alemania","NA","NA","8,57","858,387"
