"Origen","Destino","Año","Mes","Día","Periodo","Modo","Distancia","Residencia","Actividad_Origen","Actividad_Destino","Viajeros","Viajeros-km"
"01","02","2017","10","13","P4","privado","D2","España","esporádica","frecuente","13,283","8237,502"
"01","03","2017","10","13","P2","autobús","D2","España","esporádica","esporádica","9,397","6840,309"
"01","03","2017","10","13","P2","privado","D2","España","casa","frecuente","17,324","12783,685"
"01","03","2017","10","13","P4","privado","D2","España","casa","frecuente","23,732","18179,722"
"01","04","2017","10","13","P1","privado","D2","España","frecuente","esporádica","19,776","16080,754"
"01","05","2017","10","13","P1","tren","D2","España","esporádica","casa","16,379","6228,626"
"01","05","2017","10","13","P3","privado","D2","España","casa","esporádica","19,386","7008,472"
"01","05","2017","10","13","P3","privado","D2","España","esporádica","esporádica","18,676","6706,534"
"01","05","2017","10","13","P4","tren","D2","España","esporádica","frecuente","20,667","6824,712"
"01","06","2017","10","13","P1","privado","D2","España","casa","esporádica","23,798","15325,762"
"01","06","2017","10","13","P2","privado","D2","España","esporádica","frecuente","11,723","7305,512"
"01","06","2017","10","13","P3","privado","D2","Alemania","NA","NA","8,57","6094,328"
"01","08","2017","10","13","P3","privado","D2","España","casa","esporádica","20,149","10769,807"
"01","08","2017","10","13","P3","privado","D2","España","esporádica","casa","25,519","13798,244"
"01","08","2017","10","13","P3","privado","D2","España","esporádica","esporádica","46,565","25566,67"
"01","08","2017","10","13","P3","privado","D2","España","frecuente","esporádica","21,053","11979,074"
"01","08","2017","10","13","P3","privado","D2","España","frecuente","frecuente","12,71","7568,81"
"01","08","2017","10","13","P3","tren","D2","España","casa","esporádica","20,787","12194,311"
"01","08","2017","10","13","P4","privado","D2","España","esporádica","casa","8,357","4285,799"
"01","08","2017","10","13","P4","privado","D2","España","esporádica","esporádica","13,809","7280,647"
"01","08","2017","10","13","P4","tren","D2","España","frecuente","casa","9,885","5799,079"
"01","09","2017","10","13","P1","autobús","D2","España","frecuente","frecuente","6,69","499,067"
"01","09","2017","10","13","P1","privado","D2","Alemania","NA","NA","8,57","858,387"
"01","09","2017","10","13","P1","privado","D2","España","casa","frecuente","43,965","3965,352"
"01","09","2017","10","13","P1","privado","D2","España","casa","trabajo","17,952","1858,664"
"01","09","2017","10","13","P1","privado","D2","España","esporádica","frecuente","18,0","1753,902"
"01","09","2017","10","13","P1","privado","D2","España","frecuente","casa","35,159","4419,089"
"01","09","2017","10","13","P1","privado","D2","España","frecuente","esporádica","38,693","4570,333"
"01","09","2017","10","13","P1","privado","D2","España","frecuente","frecuente","17,717","1861,63"
"01","09","2017","10","13","P1","privado","D2","Francia","NA","NA","5,223","676,939"
"01","09","2017","10","13","P1","privado","D2","Italia","NA","NA","19,953","2133,94"
"01","09","2017","10","13","P1","privado","D2","Paises Nordicos","NA","NA","7,605","1124,298"
"01","09","2017","10","13","P1","privado","D2","Resto de Europa","NA","NA","36,686","4383,131"
"01","09","2017","10","13","P2","privado","D2","España","casa","esporádica","220,182","28315,444"
"01","09","2017","10","13","P2","privado","D2","España","casa","frecuente","32,41","3135,457"
"01","09","2017","10","13","P2","privado","D2","España","esporádica","casa","19,689","2640,92"
"01","09","2017","10","13","P2","privado","D2","España","esporádica","esporádica","156,88","14992,705"
"01","09","2017","10","13","P2","privado","D2","España","frecuente","esporádica","18,647","2293,843"
"01","09","2017","10","13","P2","privado","D2","España","frecuente","frecuente","26,56","3639,756"
"01","09","2017","10","13","P2","privado","D2","España","frecuente","trabajo","14,359","729,853"
"01","09","2017","10","13","P2","privado","D2","Italia","NA","NA","9,977","1111,445"
"01","09","2017","10","13","P2","privado","D2","Resto de Europa","NA","NA","12,229","978,459"
"01","09","2017","10","13","P3","autobús","D2","España","casa","frecuente","9,376","602,464"
"01","09","2017","10","13","P3","autobús","D2","España","esporádica","casa","13,143","1114,514"
"01","09","2017","10","13","P3","autobús","D2","Portugal","NA","NA","4,455","709,484"
"01","09","2017","10","13","P3","privado","D2","Alemania","NA","NA","25,709","2883,399"
"01","09","2017","10","13","P3","privado","D2","Belgica","NA","NA","12,467","828,278"
"01","09","2017","10","13","P3","privado","D2","España","casa","esporádica","307,739","25406,647"
"01","09","2017","10","13","P3","privado","D2","España","casa","frecuente","72,629","5956,987"
"01","09","2017","10","13","P3","privado","D2","España","esporádica","casa","91,347","8147,579"
"01","09","2017","10","13","P3","privado","D2","España","esporádica","esporádica","271,667","25451,337"
"01","09","2017","10","13","P3","privado","D2","España","esporádica","frecuente","54,621","9801,821"
"01","09","2017","10","13","P3","privado","D2","España","esporádica","trabajo","18,439","1185,666"
"01","09","2017","10","13","P3","privado","D2","España","frecuente","casa","156,429","12095,935"
"01","09","2017","10","13","P3","privado","D2","España","frecuente","esporádica","195,093","18975,06"
"01","09","2017","10","13","P3","privado","D2","España","frecuente","frecuente","21,192","2063,325"
"01","09","2017","10","13","P3","privado","D2","España","trabajo","esporádica","47,224","3448,794"
"01","09","2017","10","13","P3","privado","D2","España","trabajo","frecuente","46,142","3044,889"
